REVEAL__blur_euclidean,LRP__blur_euclidean,Same_Classification__blur,REVEAL__gausian_small_euclidean,LRP__gausian_small_euclidean,Same_Classification__gausian_small,REVEAL__gausian_big_euclidean,LRP__gausian_big_euclidean,Same_Classification__gausian_big
0.002096897014195,0.002783727618255,False,,,,,,
,,,0.0005229966207589,0.0021141866445004,True,,,
,,,,,,0.0016030536262677,0.0047897917664929,True
0.002597815906792,0.003487010275067,True,,,,,,
,,,0.0047791876552658,0.0023720400989103,True,,,
,,,,,,0.0226432849164264,0.009261062901421,False
0.0014793510138166,0.002934141284726,False,,,,,,
,,,0.0014646372143457,0.0028406253989018,False,,,
,,,,,,0.0055723286441864,0.0073918381359684,False
0.0055770132977483,0.0037995892569517,False,,,,,,
,,,0.0049506589222739,0.0036982634858309,False,,,
,,,,,,0.0075632071822933,0.007856832704064,False
0.0219172913424111,0.0064367049212012,False,,,,,,
,,,0.0150515806684275,0.005209513547477,False,,,
,,,,,,0.0298983053094499,0.0075839156353894,False
0.0007309740787105,0.0028900415832306,True,,,,,,
,,,0.0016199044009401,0.0019727117551852,True,,,
,,,,,,0.0007544963225531,0.0100125510382638,False
0.0018462479197203,0.0032003768552606,True,,,,,,
,,,8.389692580485132e-05,0.0024143527543077,True,,,
,,,,,,0.0080125498262448,0.0077430761722984,False
0.0006380496721102,0.0030474353135064,False,,,,,,
,,,0.0009687664842018,0.0029305904227247,False,,,
,,,,,,0.0010620711684099,0.0046199958428896,False
0.0047287398038789,0.0040825796670311,False,,,,,,
,,,0.0051562354564661,0.0037778276366993,False,,,
,,,,,,0.0085453096347298,0.0073255542734061,False
0.0005035245220502,0.004837344901069,True,,,,,,
,,,0.000311158359491,0.0046049647503288,True,,,
,,,,,,0.0051233160519712,0.0088565208570066,False
0.0002339065816197,0.0037873649737895,True,,,,,,
,,,0.0006435375071557,0.0035809929850432,True,,,
,,,,,,0.002627327824851,0.0054482926524182,True
0.0014504040303188,0.0028951310073848,True,,,,,,
,,,0.000188233235641,0.001891357619222,True,,,
,,,,,,0.0049521067928352,0.0077137926771473,False
0.0003877462667887,0.0029358250174982,True,,,,,,
,,,0.0004137010748286,0.0023207972678831,True,,,
,,,,,,0.0034137832256619,0.0073766064199645,False
0.0016560953884528,0.002422162919862,True,,,,,,
,,,0.0011764434742281,0.0019514594278128,True,,,
,,,,,,0.0038357086383657,0.0078786724882784,False
0.0048930671856463,0.0081378280651525,False,,,,,,
,,,0.004158865389262,0.0074692124755669,False,,,
,,,,,,0.0044476827811572,0.0094656019846212,False
0.0058825590982953,0.0049554091511398,False,,,,,,
